A.bte	abbots
Badeanzug (m)	bathing suit
Bademantel (m)	bathrobe
Badematte (f)	bath mat
Badewanne (f)	bath tub
Badezimmer (n)	bathroom
Badtuch (n)	bath towel
Baecker, masc.[Noun]	baker
Baecker, pl.[Noun]	bakers
Baeckerei	bakeshop
Baeckereien, pl.[Noun]	bakeries
Baelle	balls
Bahngleis (n)	train track
Bahnhof (m)	train station
Bahnsteig (m)	platform
Bahnübergang	level crossing
Bakkalaureus der	bachelors degree
Bakkalaureus der philosophischen Fakultät (m)	bachelors degree
Baklava	baklava
Bakterie, die[Noun]	bacteria
Balalaika, die	balalaika
Balalaiken, die	balalaikas
Balken[Noun]	arbor
Balkon (m)	balcony
Balkone (pl)	balconies
Ball	ball
Ballade, die	ballad
Balladen, die	ballade
Ballast, masc.[Noun]	ballast
Ballerina, fem.[Noun]	ballerina
Ballerinas, pl.[Noun]	ballerinas
Ballet (n)	ballet
Ballistik, fem.[Noun]	ballistics
Ballkleid, das , Abendkleid, das[Noun]	ballgown
Ballon, masc.[Noun]	balloon
Ballonfahren, das[Noun]	ballooning
Ballonfahrer, masc. , Ballonfahrerin, fem.[Noun]	ballooner
Ballsaal, masc.[Noun]	ballroom
Ballsaele, pl.[Noun]	ballrooms
Ballspieler, der	ballplayer
Ballspieler,die	ballplayers
Balltraeger, masc.[Noun]	ballcarrier
Balsam, der	balsam
Balustrate, die	balustrade
Balustraten, die	balustrades
Bambus (m)	bamboo
Bambus, die	bamboos
Banalitaet, fem.[Noun]	banality
Banane (f)	banana
Band (n)	band
Band (n)	tape
Bandbreite, fem,[Noun]	bandwidth
Bandbreiten, pl.[Noun]	bandwidths
Bande (f)	band
Bandenmitglied[Noun]	racketeer
Bandit (m)	bandit
Banjo, das	banjo
Banjo, die	banjoes
Bankier (m)	banker
Bankwechsel (m)	bank draft
Bann (m)	spell
Bann, der	ban
Bar (f)	bar
Barbecue (n)	barbecue
Barkellner (m)	bartender
Bart (m)	beard
Basalme, die	balms
Baseballkappe (f)	baseball cap
Baseballspiel (n)	baseball
Basketbälle (Plural von Basketball)	basketballs
Batterie (f)	battery
Batteriebeladung (f)	battery charger
Bau (m)	building
Bauchredner[Noun]	ventriloquist
Baudrate (f)	baud rate
Bauen (n)	building
Bauer (m)	farmer
Bauernhaus (n)	cottage
Bauernhof (m)	farm
Baum (m)	tree
Baumnu.sse[Noun]	walnuts
Baumverhau (mil.)	abatis
Baumverhaue[Noun]	abatises
Baumwolle (f)	cotton
Bauwerk (n)	building
Bazille, fem.[Noun]	bacillus
Bazillus (m)	germ
Baß (m)	bass
Beachtenuhr (f)	watch
Beamte (m)	clerk
Beben[Noun]	quake
Bedarf (m)	need
Bedarf (m)	want
Bedienung (f)	operation
Bedienung (f)	service
Bedienung (f)	waiting
Bedienung (f)	waitress
Bedürfnis (n)	need
Beeilung (f)	hurry
Beendigungen, Abtreibungen[Noun]	abortions
Befehl (m)	order
Befragung (f)	questioning
Begegnung (f)	meeting
Begeisterung (f)	zest
Begleiter (m)	attendant
Begleiter (m)[Noun]	accompanist
Begleiter (pl)[Noun]	accompanists
Begleiter[Noun]	accompanier
Begriffsmensch	abstractionist
Behandlung (f)	management
Behälter (m)	bin
Beifall	acclaim
Beifügung (f)	insert
Beihilfe, Vorschub	abetment
Beihilfe[Noun]	abets
Bein (n)	bone
Bein (n)	leg
Beistand (m)	sidekick
Bekannter (m)	friend
Bekleidung (f)	clothing
Belastung (f)	strain
Beleg (m)	document
Belegschaft[Noun]	labor
Beleidigung, singular, female[Noun]	insult
Beleidigungen , plural, female[Noun]	insults
Belgien	belgium
Belichtung (f)	exposure
Belu.ftung[Noun]	ventilation
Benutzerhandbuch (n)	user's manual
Benutzung (f)	use
Benzin (n)	gas
Benzin (n)	gasoline
Benzin (n)	petrol
Beobachter[Noun]	observer
Beobachter[Noun]	observers
Beobachtung[Noun]	observation
Beobachtungen[Noun]	observations
Berechnung[Noun]	calculation
Berechnungen[Noun]	calculations
Berechtigung (f)	justification
Bereich	region
Bereich (m)	area
Berg (m)	mountain
Bergausblick (m)	mountain view
Bergbau (m)	mining
Berge (pl)	mountains
Bergkette (f)	mountain range
Bergwerk	mine
Bericht (m)	account
Bernstein (m)	amber
Berührung (f)	contact
Bescha.ftigung[Noun]	occupation
Bescha.ftigungen[Noun]	occupations
Bescha.mung, Verlegenheit	abashment
Beschaffenheit (f)	quality
Beschleuniger ( Mz. )[Noun]	accelerators
Beschleunigung	acceleration
Beschleunigungsmesser	accelerometer
Beschleunigungsmesser	accelerometers
Beschluß (m)	conclusion
Besichtigung (f)	viewing
Besitzer (m)	owner
Besitzer (m)	proprietor
Besonderheit (f)	specialty
Besorgung (f)	care
Besorgung (f)	management
Besprechung (f)	conference
Besprechung (f)	discussion
Besprechung (f)	meeting
Bestaetigung	affirmation
Besteck (n)	fork
Besteck (n)	knife
Bestellung (f)	mail order
Bestellung (f)	order
Besteuerung (f)	taxation
Bestimmung (f)	destination
Bestimmungsort (m)	destination
Bestände (pl)	stocks
Besuch (m)	company
Bete (f)	beet
Betonung (f)	accent
Betrag	amount
Betrieb (m)	company
Betrieb (m)	management
Betriebsanlage (f)	factory
Betriebszeit (f)	duty
Betrug (m)	scam
Bett (n)	bed
Bettdecke (f)	blanket
Bettplatz (m)	berth
Beule (f)	boil
Beunruhigung (f)	alarm
Beutel (m)	bag
Beutel (m)	purse
Bevollmächtigter (m)	attorney
Bevölkerung (f)	people
Bewegung (f)	motion
Bewegung (f)	move
Bewegungkrankheit (f)	motion sickness
Bewerbung[Noun]	ad
Bewohner, Einwohner[Noun]	habitant
Bewohner, Einwohner[Noun]	habitants
Bewunderung	admiration
Beziehung (f)	pull
Beziehungen (pl)	relations
Bibel (f)	bible
Bibliothek (f)	library
Biegung (f)	elbow
Bier (n)	beer
Bierbrauerei (f)	brewery
Bierfaß (n)	beer keg
Bierflasche (f)	beer bottle
Bierglas (n)	beer glass
Bierlokal (n)	liquor store
Bierlokal (n)	pub
Bierlokal (n)	tavern
Bierstube[Noun]	cafes
Bikini (m)	bikini
Bild (n)	image
Bild (n)	painting
Bild (n)	picture
Bilderrahmen (m)	picture frame
Bildhauer (m)	sculptor
Bildhauerei (f)	sculpture
Bildschirm (m)	screen
Bildschirmanzeige (f)	menu
Billett (n)	ticket
Binde (f)	bandage
Binde (f)	sanitary napkin
Binden	bandages
Bindung (f)	bond
Bindung (f)	tie
Birne	pear
Birne (f)	pear
Birnen	pears
Birrette (f)	barrette
Bißchen (n)	dab
Blasrohr, Pusterohr	peashooter
Blatt[Noun]	leaf
Blau Zone	restricted parking
Blechverschluß (m)	seal
Bleistift (m)	pencil
Blick (m)	look
Blinddarm (m)	appendix
Blitz m)	flash
Blitz m)	lightning
Block (m)	block
Blockflöte (f)	recorder
Blume (f)	flower
Blumen (pl)	flowers
Blumenkohl (m)	cauliflower
Bluse (f)	blouse
Blut (n)	blood
Blutung (f)	bleeding
Blähung (f)	flatulence
Blätterteig (m)	pastry
Blätterteig[Noun]	milfoil
Blätterteige[Noun]	milfoils
Bockwurst (f)	sausage
Boden (m)	floor
Boden (m)	ground
Bodensatz (m)	dregs
Bogen (m)	arch
Bogen[Noun]	arc
Bohnen (pl)	beans
Bolivien	Bolivia
Bolzen (m)	bolt
Bonbon (f)	candy
Bonbons (pl)	candies
Boot (n)	boat
Bord (n)	shelf
Bordstein (m)	curb
Botschaft (f)	embassy
Botschafter	ambassador
Botschafterin	ambassadress
Boulevardzeitung, die[Noun]	tabloid
Bourbon (n)	bourbon
Bowle (f)	fruit cup
Brandung (f)	surf
Brasilianer (m)	Brazilian
Brasilien	Brazil
Brasiliennuß (f)	brazil nut
Bratenfett (n)	dripping
Bratkartoffeln (pl)	fried potatoes
Bratwurst (f)	sausage
Brauch (m)	custom
Brauerei (f)	brewery
Bravo![Noun]	magnifico
Breite[Noun]	width
Bremse (pl)	brakes
Brief (m)	file
Brief (m)	letter
Briefe (pl)	letters
Briefe[Noun]	mails
Briefkasten (m)	mailbox
Briefko.pfe[Noun]	letterheads
Briefkopf[Noun]	letterhead
Briefmarke (f)	stamp
Briefpost (f)	mail
Brieftasche (f)	wallet
Brieftaschen[Noun]	wallets
Brieftra.ger(in)[Noun]	letterman
Brieftra.ger(innen)[Noun]	lettermen
Briefumschla.ge	mailers
Briefumschlag	mailer
Briefumschlag (m)	envelope
Brille (pl)	eye glasses
Bristhaar (n)	chest hair
Brokkoli (pl)	broccoli
Brosche (f)	brooch
Broschüre (f)	brochure
Brot (n)	bread
Brot (n)	loaf of bread
Bruch (m)	fraction
Bruch (m)	fracture
Bruckteil (m)	fraction
Bruder (m)	brother
Bruderschaft (f)	brotherhood
Brummenvogel (m)	hummingbird
Brunnen (m)	fountain
Brunnenkresse[Noun]	watercress
Brust (f)	breast
Brust (f)	chest
Brustkasten (m)	chest
Brustwarze (f)	nipple
Bräune (f)	tan
Brötchen (n)	roll
Brücke (f)	bridge
Brücke (f)	rug
Brühe (f)	broth
Brüste (pl)	breasts
Bube (m)	boy
Buch (n)	book
Buchdekel (m)	book cover
Buchhalter	accountant
Buchhalter (m)	accountant
Buchhalterin (f)	accountant
Buchhandlung (f)	book store
Buchse (f)	gland
Buchstabe (m)	letter
Buchstaben (pl)	letters
Buckaroo (m)	cowboy
Bude (f)	stand
Bude[Noun]	booth
Buden[Noun]	booths
Bund (n)	bunch
Bundes-[Adjective]	federal
Buntstift (m)	crayon
Burg (f)	castle
Busch (m)	bush
Busleitung (f)	highway
Butan (n)	butane
Butte (f)	butt
Butter (f)	butter
Bäckerei (f)	bakery
Böschung (f)	bank
Bösenmakler (m)	stock broker
Bösenmarkt (m)	stock market
Bösewicht (m)	villain
Bücherei (f)	library
Büchse (f)	can
Büchse (f)	rifle
Büfett (n)	buffet
Bühne (f)	stage
Bündel (n)	bunch
Bürger (m)	citizen
Bürgersteig (m)	sidewalk
Bürgschaft (f)	bond
Büro (n)	office
Büroangestellte (m)	clerk
Bürste (f)	brush
Büschel (m)	bunch
CNN	Cable News Network
Café (n)	cafe
Carolyn	Carolyn
Cellophan (n)	cellophane
Centigrade (f)	celsius
Champagner (m)	champagne
Champignons (pl)	mushrooms
Chaussee (f)	highway
Chef (m)	boss
Chef (m)	head
Chemie (f)	chemistry
Chile	Chile
Chinese (pl)	Chinese
Cholera (f)	cholera
Chorgang (m)	aisle
Christfest (n)	Christmas
Christine	Christine
Cocktailparty (f)	cocktail party
Cocktailserviette (f)	cocktail napkin
Computer (m)	computer
Computerbildschirm (m)	computer screen
Computerprogramm (n)	computer program
Copyrecht (n)	copyright
Couch (n)	couch
Cousin (m)	cousin
Cowboy (m)	cowboy
Cretin (m)	idiot
DICKHAUTER[Noun]	pachyderm
DM	German Mark
DOS	DOS
Dachziegel (m)	tile
Dackel[Noun]	dachshund
Dackel[Noun]	dachshunds
Daemon, masc.[Noun]	daemon
Daguerrotypie[Noun]	daguerreotypy
Daiquiri[Noun]	daiquiri
Daktylus; Finger, Zehe[Noun]	dactyl
Dalmatiner[Noun]	dalmatian
Dame (f)	lady
Dame[Noun]	dame
Damen	ladies
Damen (pl)	ladies
Damenfriseur (m)	hairdresser
Damm[Noun]	dam
Danke (pl)	thanks
Darre (f)	kiln
Darstellung (f)	picture
Datei (f)	data
Datei (f)	database
Datei (f)	file
Dateiaufbereiter (m)	editor
Daten (f)	data
Datenbank (f)	database
Datenbanken, fem., pl.[Noun]	databanks
Datenbasen, fem.,pl.[Noun]	databases
Datenbasis (f)	database
Datenträger (m)	medium
Datenverarbeitungsanlage (f)	computer
Datenwort (n)	word
Dativ[Noun]	dative
Datscha, Datsche[Noun]	dacha
Dattel (f)	date
Datum (n)	date
Datumsgrenze, fem.[Noun]	dateline
Daumen (m)	thumb
David	David
Decke (f)	blanket
Decke (f)	cover
Deckel (m)	cover
Deckung (f)	cover
Dehnung (f)	strain
Demokratie (f)	democracy
Demonstration (f)	demonstration
Demut (f)	humility
Denkmal (n)	monument
Desinfektionsmittel (n)	disinfectant
Desodoransseife (f)	deodorant soap
Deutsche (m)	German
Deutschemark	German Mark
Deutscher (m)	German
Deutschland (n)	Germany
Dezember	December
Dia (n)	slide
Dialekt (m)	dialect
Dialekt (m)	regional dialect
Diamant (m)	diamond
Diapositiv (n)	slide film
Dichtung (f)	seal
Dickicht (n)	brush
Dieb (m)	thief
Dienst (m)	service
Dienstag (m)	Tuesday
Dienstma.dchen	maidservant
Dienstmädchen (n)	maid
Dienstprogramm (n)	utility
Diktator (m)	dictator
Diktatur (f)	dictatorship
Diplom (n)	diploma
Direktor (m)	manager
Dirne (f)	prostitute
Diskette (f)	floppy disk
Diskette (n)	diskette
Diskussion (f)	discussion
Dobermann[Noun]	doberman
Dock (n)	dock
Dockarbeiter[Noun]	dockworker
Doktor (m)	doctor
Doktorat (n)	doctorate
Doktoren[Noun]	doctors
Doktorwürde[Noun]	doctorship
Doktrin[Noun]	doctrine
Dokument (n)	document
Dolch[Noun]	dagger
Dolche	daggers
Dollarnote (f)	greenback
Dollars (pl)	dollars
Dolmetscher (m)	interpreter
Dom (m)	cathedral
Donald	Donald
Donna	Donna
Donner und Blitzen	thunder and lightning
Donnerstag (m)	Thursday
Doppelbett (n)	double bed
Doppelbild (m)	ghost
Doppelgänger (m)	double
Dorf (n)	village
Dorn[Noun]	arbor
Dose (f)	can
Dosierung (f)[Noun]	dosage
Drache[Noun]	dragon
Drachen (m)	kite
Drachen[Noun]	dragons
Draht (m)	wire
Drahtesel (m)	bicycle
Drahtzange (pl)	pliers
Drangsal (f)	tribulation
Dreck (m)	dirt
Drehung (f)	revolution
Dreifuß (m)	tripod
Droge (f)	drug
Drogerie (f)	drug store
Druck (m)	print
Drucke (pl)	prints
Drucker (m)	printer
Drüse (f)	gland
Dschungel (m)	jungle
Dudelsack, masc.[Noun]	bagpipe
Dudelsackspieler, masc.[Noun]	bagpiper
Dudelsaecke, pl.[Noun]	bagpipes
Dummkopf (m)	idiot
Dunkelheit (f)	dark
Dunkelheit[Noun]	darkness
Durcheinander (n)	confusion
Durcheinander (n)	mess
Durchfahrt (f)	thoroughfare
Durchgangsverkehr (m)	through traffic
Durchsucht (f)	search
Dusche (f)	shower bath
Duschen (pl)	showers
Duschevorhang (m)	shower curtain
Dutzend (n)	dozen
Dämonen[Noun]	daemons
Düse (f)	jet
Ebenbild (n)	image
Ebene (f)	plane
Echo  (n)[Noun]	echo
Edelleute[Noun]	noblemen
Edelmann[Noun]	nobleman
Edelstein (m)	jewel
Edelstein[Noun]	gemstone
Edelsteine[Noun]	gemstones
Edelweiss[Noun]	edelweiss
Edikt[Noun]	edict
Edikte[Noun]	edicts
Editor (m)	editor
Ego[Noun]	ego
Egoismus[Noun]	egoism
Egoist[Noun]	egoist
Egoisten	egoists
Egos[Noun]	egos
Ehe	wedlock
Ehe (f)	marriage
Ehefrau (f)	wife
Ehefrau[Noun]	wive
Ehegattin (f)	wife
Ehemaenner[Noun]	husbands
Ehemann (m)	husband
Ehre (f)	honor
Ei (n)	egg
Eiche	oak
Eiche (f)	oak tree
Eichen	oaks
Eichenholz[Noun]	oakwood
Eidotter (n)[Noun]	yolk
Eier (pl)	eggs
Eierbecher (m)	egg cup
Eierkrem (f)	custard
Eierkuchen (m)	omelet
Eifer	zealousness
Eifer (m)	heat
Eifer (m)	zeal
Eifer, Diensteifer	zeal
Eifer[Noun]	eagerness
Eigenschaft (f)	quality
Eigenschaft[Noun]	qualification
Eigenschaftswort (n)	adjective
Eigentumswohnung (f)	condominium
Eigentümer (m)	owner
Eile (f)	haste
Eile (f)	hurry
Einbahnfahrkarte (f)	one-way ticket
Einbahnstraße (f)	one way street
Einbahnstraße (f)	one-way street
Einbau (m)	installation
Einbett (n)	one bed
Einbeulung (f)	indent
Eindeutigkeit[Noun]	unambiguity
Einfach	easy
Einfach	one way
Einfach	simple
Einfach	single
Einfahrt (f)	entrance
Einfuhr (f)	import
Eingabe (f)	entry
Eingang (m)	doorway
Eingang (m)	entrance
